ID,HBlank,H135.Us,H149.C,H128.Us,HMs.Va,H67.LVL,H127.Va,HMs.LVL,H123Va,H135.LVL,H67.Va,H67.Ve,H123Ve,H86.LVL,H123Us,H62.Us,H67.C,H110.LVL,H66.Ve,H135.C,H20.Ve,H86.Ve,H86.C,H62.C,H86.Va,H110.C,H99.Ve,H128.Ve,HJHB.Ve,H66.Us,H128.C,HJHB.C,H20.C,H99.C,H149.Ve,H123C,HFz.C,H66.C,H127.Ve,H99.Us,H62.Ve,H110.Ve,H99.Va,HMs.Ve,HMs.C,H127.C,HFz.Ve,HFz.Va,H135.Ve,H132.Ve,HMs.Us,H26.Ve,H62.Va,H66.Va,H26.C,H20.Va,H20.LVL,HJHB.LVL,H135.Va,H26.Va,HFz.LVL,H149.Us,H66.LVL,H149.LVL,H149.Va,H62.LVL,H123LVL,H128.LVL,H99.LVL,HJHB.Us,H128.Va,H132.C,H127.Us,H20.Us,HFz.Us,H132.Va,H86.Us,H110.Us,H132.LVL,H110.Va,H127.LVL,H67.Us,H132.Us,HJHB.Va,H26.Us,H26.LVL
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Gillisia,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,1,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|RF16,0,0,107,0,0,0,4,0,16,0,0,85,194,0,0,0,81,0,1138,0,150,132,296,38,49,90,236,651,0,0,15,71,33,7,97,4,0,6,0,1,157,5,0,19,0,0,11,0,33,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillospira,0,0,6,0,0,0,193,0,0,0,0,14,190,0,0,0,0,0,164,0,0,67,165,15,0,6,51,11,0,0,66,46,1,44,0,1624,41,1874,0,0,0,0,5,0,8,1199,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Corynebacteriaceae|Corynebacterium,1,0,1887,0,1,0,4010,1,13,0,0,1431,60,0,0,0,1120,0,1228,342,2693,138,754,2177,13,6643,1228,4832,2,0,2938,2746,4853,1572,5,2390,1027,5452,14902,3,202,25,5,2762,250,2603,523,12,90,21,0,0,14,30,2,66,28,10,0,0,7,0,7,1,0,0,0,2,3,3,191,107,36,18,0,10,0,6,1,34,22,0,0,0,0,0
Bacteria|Firmicutes|Clostridia|Clostridiales,2,0,18566,1,16,45,1863,14,169,0,2,2250,547,1,11,1,23620,0,3735,2715,3555,1295,54068,45924,327,612,1231,776,0,0,13242,303,18925,49146,113,15277,4829,14656,907,12,138,49,86,72,22356,42532,6,13,95,1,6,0,19,166,0,215,29,6,5,0,5,0,0,0,0,1,0,1,0,7,4,428,12,5,1,0,0,0,0,27,51,0,0,0,0,0
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Nannocystaceae|Nannocystis|exedens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae,0,0,580,0,0,3,1173,1,0,0,0,685,873,14,0,0,82,0,7146,14,515,1284,1548,124,315,1092,1539,1871,2,0,93,1519,64,177,233,163,13,21,116,8,314,77,24,55,0,4644,0,0,99,9,0,1,36,271,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,3,27,0,0,0,0,0
Bacteria|Firmicutes|Bacilli|Bacillales|Planococcaceae|Sporosarcina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Spirochaetes|Spirochaetes|Spirochaetales|Spirochaetaceae|Treponema,0,0,1282,0,0,72,243,0,0,0,0,16,177,0,0,0,3,0,632,2,314,395,283,40,57,81,406,389,0,0,462,12,39,7283,28,0,0,644,20,2,134,0,29,0,0,3236,0,11,22,3,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
